,G,Date,Time,Day,School,LocType,Opponent,Conf,,Pts,Opp,W,L,Streak,TV,Notes
743,10,Nov 16 2019,12:00 PM,Sat,Oregon State,,(24) Arizona State,Pac-12,,,,,,,,
744,11,Nov 23 2019,12:00 PM,Sat,Oregon State,@,Washington State,Pac-12,,,,,,,,
745,1,Aug 31 2019,3:00 PM,Sat,(13) Washington,,Eastern Washington,Non-Major,W,47,14,1,0,W 1,,
746,2,Sep 7 2019,10:30 PM,Sat,(14) Washington,,California,Pac-12,L,19,20,1,1,L 1,,
747,5,Sep 28 2019,3:30 PM,Sat,(17) Washington,,(21) USC,Pac-12,W,28,14,4,1,W 3,,
748,6,Oct 5 2019,10:30 PM,Sat,(15) Washington,@,Stanford,Pac-12,L,13,23,4,2,L 1,,
749,7,Oct 12 2019,11:00 PM,Sat,Washington,@,Arizona,Pac-12,W,51,27,5,2,W 1,,
750,9,Nov 2 2019,4:00 PM,Sat,Washington,,(12) Utah,Pac-12,,,,,,,,
751,11,Nov 23 2019,12:00 PM,Sat,Washington,@,Colorado,Pac-12,,,,,,,,
752,12,Nov 29 2019,4:00 PM,Fri,Washington,,Washington State,Pac-12,,,,,,,,
753,2,Sep 7 2019,10:30 PM,Sat,(23) Stanford,@,USC,Pac-12,L,20,45,1,1,L 1,,
754,7,Oct 17 2019,9:00 PM,Thu,Stanford,,UCLA,Pac-12,L,16,34,3,4,L 1,,
755,8,Oct 26 2019,3:30 PM,Sat,Stanford,,Arizona,Pac-12,,,,,,,,
756,9,Nov 9 2019,12:00 PM,Sat,Stanford,@,Colorado,Pac-12,,,,,,,,
757,10,Nov 16 2019,12:00 PM,Sat,Stanford,@,Washington State,Pac-12,,,,,,,,
758,11,Nov 23 2019,12:00 PM,Sat,Stanford,,California,Pac-12,,,,,,,,
759,1,Aug 31 2019,6:30 PM,Sat,California,,California-Davis,Non-Major,W,27,13,1,0,W 1,,
760,5,Sep 27 2019,10:30 PM,Fri,(15) California,,Arizona State,Pac-12,L,17,24,4,1,L 1,,
761,8,Oct 26 2019,10:00 PM,Sat,California,@,(12) Utah,Pac-12,,,,,,,,
762,9,Nov 9 2019,12:00 PM,Sat,California,,Washington State,Pac-12,,,,,,,,
763,10,Nov 16 2019,12:00 PM,Sat,California,,USC,Pac-12,,,,,,,,
764,12,Nov 30 2019,12:00 PM,Sat,California,@,UCLA,Pac-12,,,,,,,,
765,2,Sep 7 2019,5:00 PM,Sat,(22) Washington State,,Northern Colorado,Non-Major,W,59,17,2,0,W 2,,
766,4,Sep 21 2019,10:30 PM,Sat,(19) Washington State,,UCLA,Pac-12,L,63,67,3,1,L 1,,
767,5,Sep 28 2019,10:00 PM,Sat,Washington State,@,(19) Utah,Pac-12,L,13,38,3,2,L 2,,
768,6,Oct 12 2019,3:30 PM,Sat,Washington State,@,(18) Arizona State,Pac-12,L,34,38,3,3,L 3,,
769,7,Oct 19 2019,7:00 PM,Sat,Washington State,,Colorado,Pac-12,W,41,10,4,3,W 1,,
770,4,Sep 20 2019,9:00 PM,Fri,USC,,(10) Utah,Pac-12,W,30,23,3,1,W 1,,
771,7,Oct 19 2019,9:30 PM,Sat,USC,,Arizona,Pac-12,W,41,14,4,3,W 1,,
772,8,Oct 25 2019,9:00 PM,Fri,USC,@,Colorado,Pac-12,W,35,31,5,3,W 2,,
773,10,Nov 9 2019,12:00 PM,Sat,USC,@,(24) Arizona State,Pac-12,,,,,,,,
774,12,Nov 23 2019,12:00 PM,Sat,USC,,UCLA,Pac-12,,,,,,,,
775,3,Sep 14 2019,4:15 PM,Sat,(11) Utah,,Idaho State,Non-Major,W,31,0,3,0,W 3,,
776,7,Oct 19 2019,6:00 PM,Sat,(13) Utah,,(17) Arizona State,Pac-12,W,21,3,6,1,W 3,,
777,10,Nov 16 2019,12:00 PM,Sat,(12) Utah,,UCLA,Pac-12,,,,,,,,
778,11,Nov 23 2019,12:00 PM,Sat,(12) Utah,@,Arizona,Pac-12,,,,,,,,
779,12,Nov 30 2019,12:00 PM,Sat,(12) Utah,,Colorado,Pac-12,,,,,,,,
780,2,Sep 6 2019,10:00 PM,Fri,Arizona State,,Sacramento State,Non-Major,W,19,7,2,0,W 2,,
781,4,Sep 21 2019,10:00 PM,Sat,(24) Arizona State,,Colorado,Pac-12,L,31,34,3,1,L 1,,
782,8,Oct 26 2019,7:30 PM,Sat,(24) Arizona State,@,UCLA,Pac-12,,,,,,,,
783,12,Nov 30 2019,,Sat,(24) Arizona State,,Arizona,Pac-12,,,,,,,,
784,2,Sep 7 2019,10:45 PM,Sat,Arizona,,Northern Arizona,Non-Major,W,65,41,1,1,W 1,,
785,4,Sep 28 2019,10:30 PM,Sat,Arizona,,UCLA,Pac-12,W,20,17,3,1,W 3,,
786,5,Oct 5 2019,4:30 PM,Sat,Arizona,@,Colorado,Pac-12,W,35,30,4,1,W 4,,
787,9,Nov 2 2019,9:00 PM,Sat,UCLA,,Colorado,Pac-12,,,,,,,,
788,1,Aug 31 2019,3:30 PM,Sat,Appalachian State,,East Tennessee State,Non-Major,W,42,7,1,0,W 1,,
789,4,Sep 28 2019,3:30 PM,Sat,Appalachian State,,Coastal Carolina,Sun Belt,W,56,37,4,0,W 4,,
790,5,Oct 9 2019,8:00 PM,Wed,Appalachian State,@,Louisiana,Sun Belt,W,17,7,5,0,W 5,,
791,6,Oct 19 2019,3:30 PM,Sat,(24) Appalachian State,,Louisiana-Monroe,Sun Belt,W,52,7,6,0,W 6,,
792,7,Oct 26 2019,12:00 PM,Sat,(21) Appalachian State,@,South Alabama,Sun Belt,,,,,,,,
793,8,Oct 31 2019,8:00 PM,Thu,(21) Appalachian State,,Georgia Southern,Sun Belt,,,,,,,,
794,10,Nov 16 2019,2:00 PM,Sat,(21) Appalachian State,@,Georgia State,Sun Belt,,,,,,,,
795,11,Nov 23 2019,2:30 PM,Sat,(21) Appalachian State,,Texas State,Sun Belt,,,,,,,,
796,12,Nov 29 2019,,Fri,(21) Appalachian State,@,Troy,Sun Belt,,,,,,,,
797,2,Sep 7 2019,7:00 PM,Sat,Georgia State,,Furman,Non-Major,W,48,42,2,0,W 2,,
798,4,Sep 21 2019,7:00 PM,Sat,Georgia State,@,Texas State,Sun Belt,L,34,37,2,2,L 2,,
799,5,Oct 5 2019,3:30 PM,Sat,Georgia State,,Arkansas State,Sun Belt,W,52,38,3,2,W 1,,
800,6,Oct 12 2019,5:00 PM,Sat,Georgia State,@,Coastal Carolina,Sun Belt,W,31,21,4,2,W 2,,
801,8,Oct 26 2019,7:00 PM,Sat,Georgia State,,Troy,Sun Belt,,,,,,,,
802,9,Nov 9 2019,5:00 PM,Sat,Georgia State,@,Louisiana-Monroe,Sun Belt,,,,,,,,
803,11,Nov 23 2019,2:00 PM,Sat,Georgia State,,South Alabama,Sun Belt,,,,,,,,
804,12,Nov 30 2019,12:00 PM,Sat,Georgia State,@,Georgia Southern,Sun Belt,,,,,,,,
805,2,Sep 7 2019,6:00 PM,Sat,Georgia Southern,,Maine,Non-Major,W,26,18,1,1,W 1,,
806,4,Sep 28 2019,6:00 PM,Sat,Georgia Southern,,Louisiana,Sun Belt,L,24,37,1,3,L 2,,
807,5,Oct 3 2019,7:30 PM,Thu,Georgia Southern,@,South Alabama,Sun Belt,W,20,17,2,3,W 1,,
808,6,Oct 19 2019,3:00 PM,Sat,Georgia Southern,,Coastal Carolina,Sun Belt,W,30,27,3,3,W 2,,
809,9,Nov 9 2019,3:30 PM,Sat,Georgia Southern,@,Troy,Sun Belt,,,,,,,,
810,10,Nov 16 2019,12:00 PM,Sat,Georgia Southern,,Louisiana-Monroe,Sun Belt,,,,,,,,
811,11,Nov 23 2019,3:00 PM,Sat,Georgia Southern,@,Arkansas State,Sun Belt,,,,,,,,
812,1,Aug 31 2019,6:00 PM,Sat,Troy,,Campbell,Non-Major,W,43,14,1,0,W 1,,
813,4,Sep 28 2019,6:00 PM,Sat,Troy,,Arkansas State,Sun Belt,L,43,50,2,2,L 1,,
814,6,Oct 16 2019,8:00 PM,Wed,Troy,,South Alabama,Sun Belt,W,37,13,3,3,W 1,,
815,8,Nov 2 2019,3:00 PM,Sat,Troy,@,Coastal Carolina,Sun Belt,,,,,,,,
816,10,Nov 16 2019,12:00 PM,Sat,Troy,@,Texas State,Sun Belt,,,,,,,,
817,11,Nov 23 2019,12:00 PM,Sat,Troy,@,Louisiana,Sun Belt,,,,,,,,
818,3,Sep 14 2019,2:00 PM,Sat,Coastal Carolina,,Norfolk State,Non-Major,W,46,7,2,1,W 2,,
819,9,Nov 7 2019,7:30 PM,Thu,Coastal Carolina,,Louisiana,Sun Belt,,,,,,,,
820,10,Nov 16 2019,3:00 PM,Sat,Coastal Carolina,@,Arkansas State,Sun Belt,,,,,,,,
821,11,Nov 23 2019,5:00 PM,Sat,Coastal Carolina,@,Louisiana-Monroe,Sun Belt,,,,,,,,
822,12,Nov 30 2019,12:00 PM,Sat,Coastal Carolina,,Texas State,Sun Belt,,,,,,,,
823,3,Sep 14 2019,7:30 PM,Sat,Louisiana,,Texas Southern,Non-Major,W,77,6,2,1,W 2,,
824,7,Oct 17 2019,7:30 PM,Thu,Louisiana,@,Arkansas State,Sun Belt,W,37,20,5,2,W 1,,
825,8,Nov 2 2019,5:00 PM,Sat,Louisiana,,Texas State,Sun Belt,,,,,,,,
826,10,Nov 16 2019,12:00 PM,Sat,Louisiana,@,South Alabama,Sun Belt,,,,,,,,
827,12,Nov 30 2019,12:00 PM,Sat,Louisiana,,Louisiana-Monroe,Sun Belt,,,,,,,,
828,1,Aug 31 2019,8:00 PM,Sat,Louisiana-Monroe,,Grambling State,Non-Major,W,31,9,1,0,W 1,,
829,4,Sep 28 2019,7:00 PM,Sat,Louisiana-Monroe,,South Alabama,Sun Belt,W,30,17,2,2,W 1,,
830,6,Oct 10 2019,9:15 PM,Thu,Louisiana-Monroe,@,Texas State,Sun Belt,W,24,14,3,3,W 1,,
831,8,Nov 2 2019,3:30 PM,Sat,Louisiana-Monroe,,Arkansas State,Sun Belt,,,,,,,,
832,5,Sep 28 2019,7:00 PM,Sat,Texas State,,Nicholls State,Non-Major,W,24,3,2,3,W 2,,
833,7,Oct 26 2019,7:00 PM,Sat,Texas State,@,Arkansas State,Sun Belt,,,,,,,,
834,9,Nov 9 2019,12:00 PM,Sat,Texas State,,South Alabama,Sun Belt,,,,,,,,
835,4,Sep 21 2019,7:00 PM,Sat,Arkansas State,,Southern Illinois,Non-Major,W,41,28,2,2,W 1,,
836,12,Nov 29 2019,,Fri,Arkansas State,@,South Alabama,Sun Belt,,,,,,,,
837,2,Sep 7 2019,7:00 PM,Sat,South Alabama,,Jackson State,Non-Major,W,37,14,1,1,W 1,,
